inventory_id,date,year,month,month_name,quarter,product_id,product_name,category,opening_stock,received_qty,dispatched_qty,closing_stock,reorder_level,stock_status,financial_year,day_of_week,shelf_life_days,days_of_stock,shelf_life_risk
IN000001,2023-04-01,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,174,121,137,158,200,Low,FY2023-24,Saturday,2,1.2,At Risk
IN000002,2023-04-01,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,277,132,139,270,500,Low,FY2023-24,Saturday,3,1.9,At Risk
IN000003,2023-04-01,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,166,91,241,16,500,Critical,FY2023-24,Saturday,3,0.1,At Risk
IN000004,2023-04-01,2023,4,April,Q2,P04,Paneer 200g,Paneer,286,67,106,247,30,OK,FY2023-24,Saturday,7,2.3,At Risk
IN000005,2023-04-01,2023,4,April,Q2,P05,Paneer 500g,Paneer,286,242,199,329,30,OK,FY2023-24,Saturday,7,1.7,At Risk
IN000006,2023-04-01,2023,4,April,Q2,P06,Curd 400g,Curd,108,106,86,128,80,OK,FY2023-24,Saturday,5,1.5,At Risk
IN000007,2023-04-01,2023,4,April,Q2,P07,Curd 1kg,Curd,148,105,66,187,80,OK,FY2023-24,Saturday,5,2.8,At Risk
IN000008,2023-04-01,2023,4,April,Q2,P08,Ghee 500ml,Ghee,267,51,95,223,15,OK,FY2023-24,Saturday,180,2.3,At Risk
IN000009,2023-04-01,2023,4,April,Q2,P09,Ghee 1L,Ghee,215,189,167,237,15,OK,FY2023-24,Saturday,180,1.4,At Risk
IN000010,2023-04-01,2023,4,April,Q2,P10,Butter 100g,Butter,241,241,180,302,25,OK,FY2023-24,Saturday,90,1.7,At Risk
IN000011,2023-04-01,2023,4,April,Q2,P11,Butter 500g,Butter,173,259,115,317,25,OK,FY2023-24,Saturday,90,2.8,At Risk
IN000012,2023-04-01,2023,4,April,Q2,P12,Cream 200ml,Cream,247,182,126,303,12,OK,FY2023-24,Saturday,10,2.4,At Risk
IN000013,2023-04-03,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,158,54,192,20,200,Critical,FY2023-24,Monday,2,0.1,At Risk
IN000014,2023-04-03,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,270,56,192,134,500,Critical,FY2023-24,Monday,3,0.7,At Risk
IN000015,2023-04-03,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,16,122,138,0,500,Stockout,FY2023-24,Monday,3,0.0,At Risk
IN000016,2023-04-03,2023,4,April,Q2,P04,Paneer 200g,Paneer,247,91,153,185,30,OK,FY2023-24,Monday,7,1.2,At Risk
IN000017,2023-04-03,2023,4,April,Q2,P05,Paneer 500g,Paneer,329,273,244,358,30,OK,FY2023-24,Monday,7,1.5,At Risk
IN000018,2023-04-03,2023,4,April,Q2,P06,Curd 400g,Curd,128,80,169,39,80,Critical,FY2023-24,Monday,5,0.2,At Risk
IN000019,2023-04-03,2023,4,April,Q2,P07,Curd 1kg,Curd,187,199,149,237,80,OK,FY2023-24,Monday,5,1.6,At Risk
IN000020,2023-04-03,2023,4,April,Q2,P08,Ghee 500ml,Ghee,223,99,215,107,15,OK,FY2023-24,Monday,180,0.5,At Risk
IN000021,2023-04-03,2023,4,April,Q2,P09,Ghee 1L,Ghee,237,201,213,225,15,OK,FY2023-24,Monday,180,1.1,At Risk
IN000022,2023-04-03,2023,4,April,Q2,P10,Butter 100g,Butter,302,121,133,290,25,OK,FY2023-24,Monday,90,2.2,At Risk
IN000023,2023-04-03,2023,4,April,Q2,P11,Butter 500g,Butter,317,142,269,190,25,OK,FY2023-24,Monday,90,0.7,At Risk
IN000024,2023-04-03,2023,4,April,Q2,P12,Cream 200ml,Cream,303,249,277,275,12,OK,FY2023-24,Monday,10,1.0,At Risk
IN000025,2023-04-04,2023,4,April,Q2,P01,Milk Bulk 1L,Milk Bulk,20,56,76,0,200,Stockout,FY2023-24,Tuesday,2,0.0,At Risk
IN000026,2023-04-04,2023,4,April,Q2,P02,Milk Packet 500ml,Milk Packet,134,238,83,289,500,Low,FY2023-24,Tuesday,3,3.5,Safe
IN000027,2023-04-04,2023,4,April,Q2,P03,Milk Packet 200ml,Milk Packet,0,202,139,63,500,Critical,FY2023-24,Tuesday,3,0.5,At Risk
IN000028,2023-04-04,2023,4,April,Q2,P04,Paneer 200g,Paneer,185,110,214,81,30,OK,FY2023-24,Tuesday,7,0.4,At Risk
