production_id,date,year,month,month_name,quarter,category,planned_qty,actual_qty,wastage_qty,net_produced_qty,raw_milk_used_l,production_efficiency_pct,wastage_rate_pct,shift,batch_number,day_of_week,financial_year,efficiency_band,data_quality_flag
PR000001,2023-04-01,2023,4,April,Q2,Milk Bulk,880,836,14,822,877.8,95.0,1.67,Evening,BATCH-20230401-MIL,Saturday,FY2023-24,Fair (90-95%),OK
PR000002,2023-04-01,2023,4,April,Q2,Milk Packet,1745,1608,18,1590,1736.6,92.15,1.12,Evening,BATCH-20230401-MIL,Saturday,FY2023-24,Fair (90-95%),OK
PR000003,2023-04-01,2023,4,April,Q2,Paneer,151,136,4,132,1156.0,90.07,2.94,Evening,BATCH-20230401-PAN,Saturday,FY2023-24,Fair (90-95%),OK
PR000004,2023-04-01,2023,4,April,Q2,Curd,247,232,8,224,255.2,93.93,3.45,Evening,BATCH-20230401-CUR,Saturday,FY2023-24,Fair (90-95%),OK
PR000005,2023-04-01,2023,4,April,Q2,Ghee,67,59,1,58,1180.0,88.06,1.69,Evening,BATCH-20230401-GHE,Saturday,FY2023-24,Poor (85-90%),OK
PR000006,2023-04-01,2023,4,April,Q2,Butter,103,92,1,91,2024.0,89.32,1.09,Morning,BATCH-20230401-BUT,Saturday,FY2023-24,Poor (85-90%),OK
PR000007,2023-04-01,2023,4,April,Q2,Cream,55,52,1,51,312.0,94.55,1.92,Evening,BATCH-20230401-CRE,Saturday,FY2023-24,Fair (90-95%),OK
PR000008,2023-04-03,2023,4,April,Q2,Milk Bulk,930,874,29,845,917.7,93.98,3.32,Morning,BATCH-20230403-MIL,Monday,FY2023-24,Fair (90-95%),OK
PR000009,2023-04-03,2023,4,April,Q2,Milk Packet,2416,2153,84,2069,2325.2,89.11,3.9,Evening,BATCH-20230403-MIL,Monday,FY2023-24,Poor (85-90%),OK
PR000010,2023-04-03,2023,4,April,Q2,Paneer,84,78,1,77,663.0,92.86,1.28,Morning,BATCH-20230403-PAN,Monday,FY2023-24,Fair (90-95%),OK
PR000011,2023-04-03,2023,4,April,Q2,Curd,256,251,3,248,276.1,98.05,1.2,Evening,BATCH-20230403-CUR,Monday,FY2023-24,Good (95-100%),OK
PR000012,2023-04-03,2023,4,April,Q2,Ghee,72,68,0,68,1360.0,94.44,0.0,Evening,BATCH-20230403-GHE,Monday,FY2023-24,Fair (90-95%),OK
PR000013,2023-04-03,2023,4,April,Q2,Butter,80,74,1,73,1628.0,92.5,1.35,Evening,BATCH-20230403-BUT,Monday,FY2023-24,Fair (90-95%),OK
PR000014,2023-04-03,2023,4,April,Q2,Cream,60,55,1,54,330.0,91.67,1.82,Morning,BATCH-20230403-CRE,Monday,FY2023-24,Fair (90-95%),OK
PR000015,2023-04-04,2023,4,April,Q2,Milk Bulk,1216,1190,34,1156,1249.5,97.86,2.86,Evening,BATCH-20230404-MIL,Tuesday,FY2023-24,Good (95-100%),OK
PR000016,2023-04-04,2023,4,April,Q2,Milk Packet,2454,2398,35,2363,2589.8,97.72,1.46,Evening,BATCH-20230404-MIL,Tuesday,FY2023-24,Good (95-100%),OK
PR000017,2023-04-04,2023,4,April,Q2,Paneer,117,108,1,107,918.0,92.31,0.93,Morning,BATCH-20230404-PAN,Tuesday,FY2023-24,Fair (90-95%),OK
PR000018,2023-04-04,2023,4,April,Q2,Curd,379,357,14,343,392.7,94.2,3.92,Evening,BATCH-20230404-CUR,Tuesday,FY2023-24,Fair (90-95%),OK
PR000019,2023-04-04,2023,4,April,Q2,Ghee,78,72,2,70,1440.0,92.31,2.78,Morning,BATCH-20230404-GHE,Tuesday,FY2023-24,Fair (90-95%),OK
PR000020,2023-04-04,2023,4,April,Q2,Butter,63,57,1,56,1254.0,90.48,1.75,Evening,BATCH-20230404-BUT,Tuesday,FY2023-24,Fair (90-95%),OK
PR000021,2023-04-04,2023,4,April,Q2,Cream,71,69,1,68,414.0,97.18,1.45,Morning,BATCH-20230404-CRE,Tuesday,FY2023-24,Good (95-100%),OK
PR000022,2023-04-05,2023,4,April,Q2,Milk Bulk,897,805,28,777,845.2,89.74,3.48,Evening,BATCH-20230405-MIL,Wednesday,FY2023-24,Poor (85-90%),OK
PR000023,2023-04-05,2023,4,April,Q2,Milk Packet,2201,2081,66,2015,2247.5,94.55,3.17,Evening,BATCH-20230405-MIL,Wednesday,FY2023-24,Fair (90-95%),OK
PR000024,2023-04-05,2023,4,April,Q2,Paneer,91,83,2,81,705.5,91.21,2.41,Morning,BATCH-20230405-PAN,Wednesday,FY2023-24,Fair (90-95%),OK
PR000025,2023-04-05,2023,4,April,Q2,Curd,311,295,9,286,324.5,94.86,3.05,Evening,BATCH-20230405-CUR,Wednesday,FY2023-24,Fair (90-95%),OK
PR000026,2023-04-05,2023,4,April,Q2,Ghee,77,70,1,69,1400.0,90.91,1.43,Morning,BATCH-20230405-GHE,Wednesday,FY2023-24,Fair (90-95%),OK
PR000027,2023-04-05,2023,4,April,Q2,Butter,89,81,2,79,1782.0,91.01,2.47,Evening,BATCH-20230405-BUT,Wednesday,FY2023-24,Fair (90-95%),OK
PR000028,2023-04-05,2023,4,April,Q2,Cream,56,49,0,49,294.0,87.5,0.0,Morning,BATCH-20230405-CRE,Wednesday,FY2023-24,Poor (85-90%),OK
PR000029,2023-04-06,2023,4,April,Q2,Milk Bulk,1207,1124,35,1089,1180.2,93.12,3.11,Evening,BATCH-20230406-MIL,Thursday,FY2023-24,Fair (90-95%),OK
PR000030,2023-04-06,2023,4,April,Q2,Milk Packet,1896,1747,30,1717,1886.8,92.14,1.72,Evening,BATCH-20230406-MIL,Thursday,FY2023-24,Fair (90-95%),OK
PR000031,2023-04-06,2023,4,April,Q2,Paneer,102,92,1,91,782.0,90.2,1.09,Morning,BATCH-20230406-PAN,Thursday,FY2023-24,Fair (90-95%),OK
PR000032,2023-04-06,2023,4,April,Q2,Curd,361,321,10,311,353.1,88.92,3.12,Evening,BATCH-20230406-CUR,Thursday,FY2023-24,Poor (85-90%),OK
PR000033,2023-04-06,2023,4,April,Q2,Ghee,70,63,1,62,1260.0,90.0,1.59,Morning,BATCH-20230406-GHE,Thursday,FY2023-24,Poor (85-90%),OK
PR000034,2023-04-06,2023,4,April,Q2,Butter,73,67,2,65,1474.0,91.78,2.99,Evening,BATCH-20230406-BUT,Thursday,FY2023-24,Fair (90-95%),OK
PR000035,2023-04-06,2023,4,April,Q2,Cream,65,58,1,57,348.0,89.23,1.72,Morning,BATCH-20230406-CRE,Thursday,FY2023-24,Poor (85-90%),OK
PR000036,2023-04-07,2023,4,April,Q2,Milk Bulk,1143,1039,19,1020,1091.0,90.9,1.83,Evening,BATCH-20230407-MIL,Friday,FY2023-24,Fair (90-95%),OK
PR000037,2023-04-07,2023,4,April,Q2,Milk Packet,1644,1583,37,1546,1709.6,96.29,2.34,Evening,BATCH-20230407-MIL,Friday,FY2023-24,Good (95-100%),OK
PR000038,2023-04-07,2023,4,April,Q2,Paneer,99,96,0,96,816.0,96.97,0.0,Evening,BATCH-20230407-PAN,Friday,FY2023-24,Good (95-100%),OK
PR000039,2023-04-07,2023,4,April,Q2,Curd,268,264,3,261,290.4,98.51,1.14,Evening,BATCH-20230407-CUR,Friday,FY2023-24,Good (95-100%),OK
